"","Pclass.2","Pclass.3","Sex.male","Embarked.Q","Embarked.S","family.small","family.solo","title.Master","title.Miss","title.Mr","title.Mrs","Age","Cabin.1","Cabin.2","Cabin.3","Cabin.4","ticket_group.small","ticket_group.solo","Fare","Survived"
"1",0,1,1,0,1,1,0,0,0,1,0,-0.580897997404086,0,0,0,0,0,1,-0.503209996845181,0
"2",0,0,0,0,0,1,0,0,0,0,1,0.621548596327081,1,0,0,0,1,0,0.733941231700837,1
"3",0,1,0,0,1,0,1,0,1,0,0,-0.280286348971294,0,0,0,0,0,1,-0.490168703029798,1
"4",0,0,0,0,1,1,0,0,0,0,1,0.396089860002487,1,0,0,0,1,0,0.382631960836758,1
"5",0,1,1,0,1,0,1,0,0,1,0,0.396089860002487,0,0,0,0,0,1,-0.487753648619542,0
"6",0,1,1,1,0,0,1,0,0,1,0,-0.0651325133374367,0,0,0,0,0,1,-0.479865114893881,0
"7",0,0,1,0,1,0,1,0,0,1,0,1.82399519005825,1,0,0,0,1,0,0.358722922175223,0
"8",0,1,1,0,1,0,0,1,0,0,0,-2.08395623956805,0,0,0,0,0,0,-0.236104979070856,0
"9",0,1,0,0,1,1,0,0,0,0,1,-0.205133436863096,0,0,0,0,1,0,-0.428182950514401,1
"10",1,0,0,0,0,1,0,0,0,0,1,-1.18212129426967,0,0,0,0,1,0,-0.0623022073606007,1
"11",0,1,0,0,1,1,0,0,1,0,0,-1.93365041535165,1,0,0,0,1,0,-0.320631883429819,1
"12",0,0,0,0,1,0,1,0,1,0,0,2.12460683849104,1,0,0,0,0,1,-0.130325595901638,1
"13",0,1,1,0,1,0,1,0,0,1,0,-0.731203821620482,0,0,0,0,0,1,-0.487753648619542,0
"14",0,1,1,0,1,0,0,0,0,1,0,0.696701508435279,0,0,0,0,0,0,-0.0390365391939575,0
"15",0,1,0,0,1,0,1,0,1,0,0,-1.18212129426967,0,0,0,0,0,1,-0.491536589847767,0
"16",1,0,0,0,1,0,1,0,0,0,1,1.89914810216645,0,0,0,0,0,1,-0.334156188127253,1
"17",0,1,1,1,0,0,0,1,0,0,0,-2.08395623956805,0,0,0,0,0,0,-0.0805754750503625,0
"18",1,0,1,0,1,0,1,0,0,1,0,0.251579409605381,0,0,0,0,0,1,-0.3921174939734,1
"19",0,1,0,0,1,1,0,0,0,0,1,0.0954782115696956,0,0,0,0,1,0,-0.295515317563156,0
"20",0,1,0,0,0,0,1,0,0,0,1,-0.0651325133374367,0,0,0,0,0,1,-0.503693007727232,1
"21",1,0,1,0,1,0,1,0,0,1,0,0.396089860002487,0,0,0,0,1,0,-0.140951835306765,0
